source	pathway_id	pathway_name	bg_eligible_genes
GO_BP	GO:0001655	urogenital system development	3
GO_BP	GO:0001656	metanephros development	8
GO_BP	GO:0001657	ureteric bud development	9
GO_BP	GO:0001658	branching involved in ureteric bud morphogenesis	9
GO_BP	GO:0001659	temperature homeostasis	10
GO_BP	GO:0001662	behavioral fear response	4
GO_BP	GO:0001666	response to hypoxia	59
GO_BP	GO:0001667	ameboidal-type cell migration	1
GO_BP	GO:0001675	acrosome assembly	14
GO_BP	GO:0001676	long-chain fatty acid metabolic process	15
GO_BP	GO:0001678	intracellular glucose homeostasis	20
GO_BP	GO:0001680	tRNA 3'-terminal CCA addition	3
GO_BP	GO:0001682	tRNA 5'-leader removal	11
GO_BP	GO:0001692	histamine metabolic process	3
GO_BP	GO:0001694	histamine biosynthetic process	1
GO_BP	GO:0001695	histamine catabolic process	1
GO_BP	GO:0001701	in utero embryonic development	18
GO_BP	GO:0001702	gastrulation with mouth forming second	1
GO_BP	GO:0001704	formation of primary germ layer	1
GO_BP	GO:0001706	endoderm formation	4
GO_BP	GO:0001707	mesoderm formation	5
GO_BP	GO:0001708	cell fate specification	12
GO_BP	GO:0001709	cell fate determination	3
GO_BP	GO:0001711	endodermal cell fate commitment	5
GO_BP	GO:0001714	endodermal cell fate specification	2
GO_BP	GO:0001717	conversion of seryl-tRNAsec to selenocys-tRNAsec	1
GO_BP	GO:0001731	formation of translation preinitiation complex	6
GO_BP	GO:0001732	formation of cytoplasmic translation initiation complex	3
GO_BP	GO:0001736	establishment of planar polarity	3
GO_BP	GO:0001738	morphogenesis of a polarized epithelium	2
GO_BP	GO:0001754	eye photoreceptor cell differentiation	4
GO_BP	GO:0001755	neural crest cell migration	31
GO_BP	GO:0001756	somitogenesis	6
GO_BP	GO:0001757	somite specification	1
GO_BP	GO:0001762	beta-alanine transport	1
GO_BP	GO:0001763	morphogenesis of a branching structure	3
GO_BP	GO:0001764	neuron migration	52
GO_BP	GO:0001765	membrane raft assembly	4
GO_BP	GO:0001766	membrane raft polarization	1
GO_BP	GO:0001770	establishment of natural killer cell polarity	1
GO_BP	GO:0001771	immunological synapse formation	2
GO_BP	GO:0001773	myeloid dendritic cell activation	1
GO_BP	GO:0001774	microglial cell activation	9
GO_BP	GO:0001775	cell activation	5
GO_BP	GO:0001776	leukocyte homeostasis	1
GO_BP	GO:0001778	plasma membrane repair	19
GO_BP	GO:0001779	natural killer cell differentiation	7
GO_BP	GO:0001780	neutrophil homeostasis	3
GO_BP	GO:0001782	B cell homeostasis	7
GO_BP	GO:0001783	B cell apoptotic process	2
GO_BP	GO:0001787	natural killer cell proliferation	2
GO_BP	GO:0001788	antibody-dependent cellular cytotoxicity	1
GO_BP	GO:0001817	regulation of cytokine production	26
GO_BP	GO:0001818	negative regulation of cytokine production	16
GO_BP	GO:0001819	positive regulation of cytokine production	24
GO_BP	GO:0001822	kidney development	33
GO_BP	GO:0001823	mesonephros development	6
GO_BP	GO:0001824	blastocyst development	1
GO_BP	GO:0001825	blastocyst formation	2
GO_BP	GO:0001826	inner cell mass cell differentiation	1
GO_BP	GO:0001829	trophectodermal cell differentiation	2
GO_BP	GO:0001834	trophectodermal cell proliferation	2
GO_BP	GO:0001836	release of cytochrome c from mitochondria	15
GO_BP	GO:0001837	epithelial to mesenchymal transition	34
GO_BP	GO:0001841	neural tube formation	1
GO_BP	GO:0001843	neural tube closure	22
GO_BP	GO:0001845	phagolysosome assembly	2
GO_BP	GO:0001865	NK T cell differentiation	1
GO_BP	GO:0001866	NK T cell proliferation	1
GO_BP	GO:0001867	complement activation, lectin pathway	2
GO_BP	GO:0001869	negative regulation of complement activation, lectin pathway	2
GO_BP	GO:0001878	response to yeast	6
GO_BP	GO:0001881	receptor recycling	10
GO_BP	GO:0001886	endothelial cell morphogenesis	6
GO_BP	GO:0001889	liver development	16
GO_BP	GO:0001890	placenta development	5
GO_BP	GO:0001892	embryonic placenta development	5
GO_BP	GO:0001893	maternal placenta development	1
GO_BP	GO:0001894	tissue homeostasis	5
GO_BP	GO:0001895	retina homeostasis	8
GO_BP	GO:0001909	leukocyte mediated cytotoxicity	1
GO_BP	GO:0001910	regulation of leukocyte mediated cytotoxicity	1
GO_BP	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	1
GO_BP	GO:0001913	T cell mediated cytotoxicity	2
GO_BP	GO:0001916	positive regulation of T cell mediated cytotoxicity	3
GO_BP	GO:0001919	regulation of receptor recycling	2
GO_BP	GO:0001920	negative regulation of receptor recycling	3
GO_BP	GO:0001921	positive regulation of receptor recycling	7
GO_BP	GO:0001922	B-1 B cell homeostasis	1
GO_BP	GO:0001928	regulation of exocyst assembly	1
GO_BP	GO:0001932	regulation of protein phosphorylation	12
GO_BP	GO:0001933	negative regulation of protein phosphorylation	25
GO_BP	GO:0001934	positive regulation of protein phosphorylation	43
GO_BP	GO:0001935	endothelial cell proliferation	11
GO_BP	GO:0001936	regulation of endothelial cell proliferation	2
GO_BP	GO:0001937	negative regulation of endothelial cell proliferation	20
GO_BP	GO:0001938	positive regulation of endothelial cell proliferation	42
GO_BP	GO:0001942	hair follicle development	7
GO_BP	GO:0001944	vasculature development	6
GO_BP	GO:0001945	lymph vessel development	4
GO_BP	GO:0001946	lymphangiogenesis	9
GO_BP	GO:0001947	heart looping	24
GO_BP	GO:0001952	regulation of cell-matrix adhesion	6
GO_BP	GO:0001953	negative regulation of cell-matrix adhesion	12
GO_BP	GO:0001954	positive regulation of cell-matrix adhesion	15
GO_BP	GO:0001955	blood vessel maturation	4
GO_BP	GO:0001956	positive regulation of neurotransmitter secretion	6
GO_BP	GO:0001957	intramembranous ossification	1
GO_BP	GO:0001958	endochondral ossification	9
GO_BP	GO:0001959	regulation of cytokine-mediated signaling pathway	2
GO_BP	GO:0001960	negative regulation of cytokine-mediated signaling pathway	2
GO_BP	GO:0001961	positive regulation of cytokine-mediated signaling pathway	4
GO_BP	GO:0001963	synaptic transmission, dopaminergic	5
GO_BP	GO:0001964	startle response	2
GO_BP	GO:0001967	suckling behavior	2
