node_index,gene_id,gene_symbol,baseMean_primary,lfc_shrunk_primary,pvalue_primary,padj_primary,analysis_eligible_primary
14774,ENSG00000206422,LRRC30,NA,NA,NA,NA,False
14775,ENSG00000206432,TMEM200C,410.27626499985,0.475080446545976,0.001313940572716,0.0078542921022101,True
14776,ENSG00000206474,OR10C1,NA,NA,NA,NA,False
14777,ENSG00000206527,HACD2,1282.87716768902,0.0518103166417271,0.457264879058583,0.617791425923279,True
14778,ENSG00000206530,CFAP44,85.2238810761934,0.199745212529391,0.124062035179119,0.251463048581431,True
14779,ENSG00000206535,LNP1,NA,NA,NA,NA,False
14780,ENSG00000206538,VGLL3,732.714619366941,3.22948743115197,7.99915436143909e-24,2.7945934556616502e-21,True
14781,ENSG00000206557,TRIM71,NA,NA,NA,NA,False
14782,ENSG00000206559,ZCWPW2,NA,NA,NA,NA,False
14783,ENSG00000206560,ANKRD28,2371.96441092294,-0.0496022350267902,0.609346932619399,0.74189316278356,True
14784,ENSG00000206561,COLQ,61.0589508985292,-0.117215920946785,0.159848801652244,0.301524282007694,True
14785,ENSG00000206562,METTL6,476.329835226782,0.0255650554106388,0.77061757916033,0.858159845324904,True
14786,ENSG00000206579,XKR4,581.699805126584,-0.119726772112209,0.343697533117645,0.509810576013754,True
14787,ENSG00000211445,GPX3,1827.38060883858,0.95802665415391,0.0035482434922669,0.0170850912719146,True
14788,ENSG00000211448,DIO2,1226.78552190391,-0.127820212090243,0.31149899450033,0.476782627945802,True
14789,ENSG00000211450,SELENOH,454.528846994387,0.240765889463841,0.0299884597302829,0.0884532969108273,True
14790,ENSG00000211452,DIO1,NA,NA,NA,NA,False
14791,ENSG00000211454,AKR7L,636.939547170281,-0.0092238926391318,0.893214113076012,0.93902545877178,True
14792,ENSG00000211455,STK38L,1085.29391172144,-0.401463908842225,2.80391214963597e-05,0.000338109329875,True
14793,ENSG00000211456,SACM1L,2128.75732880881,-0.56384110799804,1.16525981560072e-11,7.11430713631566e-10,True
14794,ENSG00000211460,TSN,3800.91669222923,-0.0808773050946822,0.171023428800041,0.315205402112854,True
14795,ENSG00000211584,SLC48A1,4658.49482659165,-0.319662317445704,0.001245435923858,0.0075234618704909,True
14796,ENSG00000212122,TSSK1B,NA,NA,NA,NA,False
14797,ENSG00000212123,PRR22,NA,NA,NA,NA,False
14798,ENSG00000212657,KRTAP16-1,NA,NA,NA,NA,False
14799,ENSG00000212864,RNF208,2270.88852142505,-0.092136685505161,0.162220238107517,0.304713349546143,True
14800,ENSG00000212901,KRTAP3-1,NA,NA,NA,NA,False
14801,ENSG00000212907,MT-ND4L,208.864331909482,-0.502072349365531,0.0025706380947774,0.0132178721659919,True
14802,ENSG00000213015,ZNF580,281.44355193385,0.15065971690213,0.125701461080221,0.253600782163288,True
14803,ENSG00000213022,KLK9,NA,NA,NA,NA,False
14804,ENSG00000213023,SYT3,1569.2311312513,-0.202310410681179,0.103684510209932,0.220948845291481,True
14805,ENSG00000213024,NUP62,750.97367526499,0.26152451275927,0.0004851713027608,0.0035332944266491,True
14806,ENSG00000213047,DENND1B,444.880708308102,-0.283300322904639,0.0121344133279613,0.0442617507035294,True
14807,ENSG00000213064,SFT2D2,1288.32728357338,0.30340346012113,0.0349597453843274,0.099051299323876,True
14808,ENSG00000213066,CEP43,728.933775673156,-0.229352197286308,0.0306638975664679,0.0898764483088945,True
14809,ENSG00000213079,SCAF8,1744.93741285172,0.0499074251524556,0.383954124126808,0.550497552045562,True
14810,ENSG00000213085,CFAP45,101.945224800389,1.1584576536442,1.66905780196337e-05,0.0002216656808373,True
14811,ENSG00000213088,ACKR1,790.569419888404,0.145564640352053,0.255681191499439,0.416110551952439,True
14812,ENSG00000213123,DYNLT2B,283.580288069601,0.0292197004282434,0.766019238675359,0.855159237069057,True
14813,ENSG00000213139,CRYGS,NA,NA,NA,NA,False
14814,ENSG00000213145,CRIP1,105.064818538454,0.0523932789090897,0.668545081375817,0.786409806180545,True
14815,ENSG00000213160,KLHL23,1591.00586769778,0.634021651988729,1.61383694231236e-14,1.49244317819577e-12,True
14816,ENSG00000213171,LINGO4,94.2341395259629,-1.08554593384513,0.0006857573189657,0.0046746719786627,True
14817,ENSG00000213186,TRIM59,1437.41512915349,-0.550054337748002,0.0013651091982564,0.0080757189023852,True
14818,ENSG00000213190,MLLT11,4812.10293716528,-0.200759147957371,0.0169470369443202,0.0573118805186111,True
14819,ENSG00000213199,ASIC3,NA,NA,NA,NA,False
14820,ENSG00000213203,GIMAP1,47.5686857976723,0.33874332552839,0.0409556711596622,0.111517531105233,True
14821,ENSG00000213221,DNLZ,1104.58167166118,-0.431765048017903,0.0006717552874924,0.0045991650793644,True
14822,ENSG00000213246,SUPT4H1,1010.94053492179,-0.0529780632193324,0.497071924507383,0.651555351175546,True
14823,ENSG00000213265,TSGA13,NA,NA,NA,NA,False
14824,ENSG00000213281,NRAS,1464.10690473264,-0.157342095526096,0.125995230150742,0.254111932265215,True
14825,ENSG00000213337,ANKRD39,226.930765503423,0.105227333991984,0.361573046589352,0.528964081302114,True
14826,ENSG00000213339,QTRT1,194.947270066664,0.137597448089238,0.179388248927543,0.325236558564466,True
14827,ENSG00000213341,CHUK,825.676410911547,-0.0129093710645225,0.883538448601293,0.932549770733339,True
14828,ENSG00000213347,MXD3,NA,NA,NA,NA,False
14829,ENSG00000213366,GSTM2,1039.58041571485,-0.355973219368581,0.0003738662422599,0.0028360167243083,True
14830,ENSG00000213380,COG8,776.115131760013,-0.15721327888827,0.0120072216677329,0.0438741507597549,True
14831,ENSG00000213390,ARHGAP19,148.68997205393,0.156324505421353,0.241660535579818,0.401979176826792,True
14832,ENSG00000213397,HAUS7,235.304269922793,0.144390908858022,0.177245714951995,0.322737773455233,True
14833,ENSG00000213398,LCAT,626.977573698904,-0.0754630604118798,0.502854871245748,0.65618680427157,True
14834,ENSG00000213402,PTPRCAP,NA,NA,NA,NA,False
14835,ENSG00000213420,GPC2,NA,NA,NA,NA,False
14836,ENSG00000213424,KRT222,2063.76192624692,-0.50528961285558,0.0001748048225758,0.0015288736116389,True
14837,ENSG00000213445,SIPA1,477.512840637655,-0.0019025945984198,0.984504370432491,0.990648169207892,True
14838,ENSG00000213463,SYNJ2BP,1294.96066789219,-0.190832421365062,0.014655807800522,0.0512477583887387,True
14839,ENSG00000213465,ARL2,1980.51350473219,-0.149730328118715,0.0760896838774425,0.175721622131214,True
14840,ENSG00000213471,TTLL13,32.9148533610799,0.0940233831823556,0.447570410792936,0.608806581415127,True
14841,ENSG00000213523,SRA1,920.359396012692,-0.0922583530665054,0.272866856663186,0.435016663233983,True
14842,ENSG00000213533,STIMATE,757.53159177155,0.0871498175942444,0.23789127874596,0.397602473460191,True
14843,ENSG00000213551,DNAJC9,1035.08570907349,0.0430816121276904,0.584091828643578,0.720914909602579,True
14844,ENSG00000213563,C8orf82,645.756183290009,-0.262032726625543,0.0035609075663837,0.0171329512097964,True
