node_index,gene_id,gene_symbol,graph_degree
12452,ENSG00000178896,EXOSC4,21
12453,ENSG00000178904,DPY19L3,0
12454,ENSG00000178913,TAF7,109
12455,ENSG00000178919,FOXE1,0
12456,ENSG00000178921,PFAS,0
12457,ENSG00000178927,CYBC1,0
12458,ENSG00000178950,GAK,7
12459,ENSG00000178951,ZBTB7A,1
12460,ENSG00000178952,TUFM,97
12461,ENSG00000178966,RMI1,15
12462,ENSG00000178971,CTC1,11
12463,ENSG00000178974,FBXO34,0
12464,ENSG00000178980,SELENOW,0
12465,ENSG00000178982,EIF3K,46
12466,ENSG00000178996,SNX18,3
12467,ENSG00000178997,EXD1,2
12468,ENSG00000178999,AURKB,23
12469,ENSG00000179002,TAS1R2,3
12470,ENSG00000179008,C14orf39,0
12471,ENSG00000179021,C3orf38,0
12472,ENSG00000179023,KLHDC7A,0
12473,ENSG00000179029,TMEM107,12
12474,ENSG00000179041,RRS1,11
12475,ENSG00000179044,EXOC3L1,9
12476,ENSG00000179046,TRIML2,0
12477,ENSG00000179051,RCC2,2
12478,ENSG00000179055,OR13D1,0
12479,ENSG00000179059,ZFP42,0
12480,ENSG00000179071,CCDC89,0
12481,ENSG00000179085,DPM3,2
12482,ENSG00000179091,CYC1,67
12483,ENSG00000179094,PER1,7
12484,ENSG00000179097,HTR1F,3
12485,ENSG00000179104,TMTC2,0
12486,ENSG00000179111,HES7,0
12487,ENSG00000179115,FARSA,2
12488,ENSG00000179119,SPTY2D1,0
12489,ENSG00000179134,SAMD4B,0
12490,ENSG00000179144,GIMAP7,0
12491,ENSG00000179148,ALOXE3,0
12492,ENSG00000179151,EDC3,9
12493,ENSG00000179152,TCAIM,0
12494,ENSG00000179163,FUCA1,1
12495,ENSG00000179168,GGN,0
12496,ENSG00000179178,TMEM125,0
12497,ENSG00000179195,ZNF664,0
12498,ENSG00000179218,CALR,28
12499,ENSG00000179222,MAGED1,9
12500,ENSG00000179241,LDLRAD3,0
12501,ENSG00000179242,CDH4,6
12502,ENSG00000179256,SMCO3,0
12503,ENSG00000179262,RAD23A,14
12504,ENSG00000179270,PCARE,0
12505,ENSG00000179271,GADD45GIP1,100
12506,ENSG00000179284,DAND5,1
12507,ENSG00000179292,TMEM151A,0
12508,ENSG00000179295,PTPN11,73
12509,ENSG00000179299,NSUN7,0
12510,ENSG00000179300,RTL3,0
12511,ENSG00000179314,WSCD1,0
12512,ENSG00000179331,RAB39A,0
12513,ENSG00000179335,CLK3,0
12514,ENSG00000179348,GATA2,12
12515,ENSG00000179361,ARID3B,0
12516,ENSG00000179364,PACS2,3
12517,ENSG00000179387,ELMOD2,0
12518,ENSG00000179388,EGR3,4
12519,ENSG00000179399,GPC5,0
12520,ENSG00000179403,VWA1,0
12521,ENSG00000179407,DNAJB8,0
12522,ENSG00000179409,GEMIN4,16
12523,ENSG00000179431,FJX1,0
12524,ENSG00000179454,KLHL28,0
12525,ENSG00000179455,MKRN3,0
12526,ENSG00000179456,ZBTB18,1
12527,ENSG00000179468,OR9A2,0
12528,ENSG00000179476,C14orf28,0
12529,ENSG00000179477,ALOX12B,0
12530,ENSG00000179520,SLC17A8,12
12531,ENSG00000179526,SHARPIN,17
12532,ENSG00000179528,LBX2,0
12533,ENSG00000179532,DNHD1,0
12534,ENSG00000179542,SLITRK4,0
12535,ENSG00000179562,GCC1,2
12536,ENSG00000179564,LSMEM2,0
12537,ENSG00000179580,RNF151,0
12538,ENSG00000179583,CIITA,3
12539,ENSG00000179588,ZFPM1,7
12540,ENSG00000179593,ALOX15B,1
12541,ENSG00000179598,PLD6,0
12542,ENSG00000179600,GPHB5,1
12543,ENSG00000179603,GRM8,2
12544,ENSG00000179604,CDC42EP4,1
12545,ENSG00000179627,ZBTB42,0
12546,ENSG00000179630,LACC1,0
12547,ENSG00000179632,MAF1,0
12548,ENSG00000179636,TPPP2,0
12549,ENSG00000179673,RPRML,0
12550,ENSG00000179674,ARL14,0
12551,ENSG00000179715,PCED1B,0
12552,ENSG00000179751,SYCN,0
12553,ENSG00000179761,PIPOX,3
12554,ENSG00000179772,FOXS1,0
12555,ENSG00000179774,ATOH7,0
12556,ENSG00000179776,CDH5,22
12557,ENSG00000179796,LRRC3B,0
12558,ENSG00000179813,FAM216B,0
12559,ENSG00000179820,MYADM,0
12560,ENSG00000179832,MROH1,0
12561,ENSG00000179833,SERTAD2,0
12562,ENSG00000179846,NKPD1,0
12563,ENSG00000179855,GIPC3,0
12564,ENSG00000179859,RNF227,0
12565,ENSG00000179862,CITED4,1
12566,ENSG00000179869,ABCA13,0
12567,ENSG00000179886,TIGD5,0
12568,ENSG00000179889,PDXDC1,0
12569,ENSG00000179902,CFAP276,31
12570,ENSG00000179912,R3HDM2,0
12571,ENSG00000179913,B3GNT3,2
12572,ENSG00000179915,NRXN1,10
12573,ENSG00000179918,SEPHS2,1
12574,ENSG00000179921,GPBAR1,0
12575,ENSG00000179922,ZNF784,0
12576,ENSG00000179930,ZNF648,0
12577,ENSG00000179933,C14orf119,0
12578,ENSG00000179934,CCR8,12
12579,ENSG00000179941,BBS10,9
12580,ENSG00000179943,FIZ1,0
12581,ENSG00000179950,PUF60,17
12582,ENSG00000179954,SSC5D,0
12583,ENSG00000179958,DCTPP1,1
12584,ENSG00000179965,ZNF771,0
12585,ENSG00000179981,TSHZ1,0
12586,ENSG00000179988,PSTK,0
12587,ENSG00000180008,SOCS4,5
12588,ENSG00000180011,PTGR3,0
12589,ENSG00000180035,ZNF48,0
12590,ENSG00000180042,OR1R1P,0
12591,ENSG00000180044,C3orf80,0
12592,ENSG00000180053,NKX2-6,0
12593,ENSG00000180061,TMEM150B,0
12594,ENSG00000180089,TMEM86B,0
12595,ENSG00000180096,SEPTIN1,10
12596,ENSG00000180098,TRNAU1AP,1
12597,ENSG00000180104,EXOC3,12
12598,ENSG00000180113,TDRD6,3
12599,ENSG00000180116,REDIC1,0
12600,ENSG00000180155,LYNX1,0
12601,ENSG00000180176,TH,3
12602,ENSG00000180182,MED14,78
12603,ENSG00000180185,FAHD1,0
12604,ENSG00000180190,TDRP,0
12605,ENSG00000180198,RCC1,8
12606,ENSG00000180205,WFDC9,0
12607,ENSG00000180209,MYL11,14
12608,ENSG00000180210,F2,17
12609,ENSG00000180228,PRKRA,23
12610,ENSG00000180233,ZNRF2,0
12611,ENSG00000180245,RRH,0
12612,ENSG00000180251,SLC9A4,1
12613,ENSG00000180263,FGD6,0
12614,ENSG00000180269,GPR139,3
12615,ENSG00000180287,PLD5,0
12616,ENSG00000180304,OAZ2,2
12617,ENSG00000180316,PNPLA1,0
12618,ENSG00000180318,ALX1,0
12619,ENSG00000180329,CCDC43,0
12620,ENSG00000180332,KCTD4,0
12621,ENSG00000180336,MEIOC,1
12622,ENSG00000180340,FZD2,17
12623,ENSG00000180346,TIGD2,0
12624,ENSG00000180347,ITPRID1,0
12625,ENSG00000180353,HCLS1,39
12626,ENSG00000180354,MTURN,0
12627,ENSG00000180357,ZNF609,0
12628,ENSG00000180370,PAK2,10
12629,ENSG00000180376,CCDC66,0
12630,ENSG00000180383,DEFB124,0
12631,ENSG00000180398,MCFD2,1
12632,ENSG00000180423,HARBI1,0
12633,ENSG00000180424,DEFB123,0
12634,ENSG00000180425,C11orf71,0
12635,ENSG00000180432,CYP8B1,0
12636,ENSG00000180433,OR6K6,0
12637,ENSG00000180440,SERTM1,0
12638,ENSG00000180447,GAS1,6
12639,ENSG00000180448,ARHGAP45,0
12640,ENSG00000180481,GLIPR1L2,0
12641,ENSG00000180483,DEFB119,0
12642,ENSG00000180488,MIGA1,1
12643,ENSG00000180509,KCNE1,2
12644,ENSG00000180530,NRIP1,13
12645,ENSG00000180535,BHLHA15,0
12646,ENSG00000180537,RNF182,0
12647,ENSG00000180543,TSPYL5,1
12648,ENSG00000180549,FUT7,1
12649,ENSG00000180592,SKIDA1,0
12650,ENSG00000180611,MB21D2,0
12651,ENSG00000180613,GSX2,0
12652,ENSG00000180616,SSTR2,6
12653,ENSG00000180628,PCGF5,32
12654,ENSG00000180644,PRF1,2
12655,ENSG00000180660,MAB21L1,0
12656,ENSG00000180667,YOD1,8
12657,ENSG00000180694,TMEM64,0
12658,ENSG00000180720,CHRM4,0
12659,ENSG00000180730,SHISA2,0
12660,ENSG00000180739,S1PR5,4
12661,ENSG00000180745,CLRN3,0
12662,ENSG00000180758,GPR157,0
12663,ENSG00000180767,CHST13,2
12664,ENSG00000180772,AGTR2,2
12665,ENSG00000180773,SLC36A4,3
12666,ENSG00000180776,ZDHHC20,0
12667,ENSG00000180785,OR51E1,0
12668,ENSG00000180787,ZFP3,0
12669,ENSG00000180801,ARSJ,0
12670,ENSG00000180806,HOXC9,0
12671,ENSG00000180815,MAP3K15,0
12672,ENSG00000180817,PPA1,2
12673,ENSG00000180818,HOXC10,0
12674,ENSG00000180822,PSMG4,2
12675,ENSG00000180828,BHLHE22,0
12676,ENSG00000180834,MAP6D1,0
12677,ENSG00000180875,GREM2,2
12678,ENSG00000180878,C11orf42,0
12679,ENSG00000180879,SSR4,14
12680,ENSG00000180881,CAPS2,0
12681,ENSG00000180891,CUEDC1,0
12682,ENSG00000180900,SCRIB,18
12683,ENSG00000180901,KCTD2,2
12684,ENSG00000180902,D2HGDH,0
12685,ENSG00000180914,OXTR,3
12686,ENSG00000180917,CMTR2,0
12687,ENSG00000180921,FAM83H,0
12688,ENSG00000180929,GPR62,0
12689,ENSG00000180957,PITPNB,0
12690,ENSG00000180964,TCEAL8,0
12691,ENSG00000180974,OR52E4,0
12692,ENSG00000180979,LRRC57,0
12693,ENSG00000180992,MRPL14,98
12694,ENSG00000180998,GPR137C,0
12695,ENSG00000180999,C1orf105,0
12696,ENSG00000181001,OR52N1,0
12697,ENSG00000181004,BBS12,9
12698,ENSG00000181007,ZFP82,0
12699,ENSG00000181009,OR52N5,0
12700,ENSG00000181016,LSMEM1,0
12701,ENSG00000181019,NQO1,3
12702,ENSG00000181026,AEN,0
12703,ENSG00000181027,FKRP,0
12704,ENSG00000181029,TRAPPC5,13
12705,ENSG00000181031,RPH3AL,0
12706,ENSG00000181035,SLC25A42,0
12707,ENSG00000181038,METTL23,0
12708,ENSG00000181045,SLC26A11,0
12709,ENSG00000181061,HIGD1A,2
12710,ENSG00000181072,CHRM2,9
12711,ENSG00000181085,MAPK15,1
12712,ENSG00000181090,EHMT1,7
12713,ENSG00000181092,ADIPOQ,4
12714,ENSG00000181104,F2R,15
12715,ENSG00000181191,PJA1,1
12716,ENSG00000181192,DHTKD1,2
12717,ENSG00000181195,PENK,3
12718,ENSG00000181218,H2AC25,0
12719,ENSG00000181220,ZNF746,1
12720,ENSG00000181222,POLR2A,0
12721,ENSG00000181234,TMEM132C,0
12722,ENSG00000181240,SLC25A41,0
12723,ENSG00000181264,TLCD5,0
12724,ENSG00000181274,FRAT2,4
